series_id,label,value,date,unit,stat_code,period
BOK_BASE_RATE,한국은행 기준금리,2.5,202604,%,722Y001,M
GOV_BOND_3Y,국고채 3년,3.413,202604,%,721Y001,M
GOV_BOND_10Y,국고채 10년,3.737,202604,%,721Y001,M
CD_91D,CD 91일,2.82,202604,%,721Y001,M
CORP_BOND_AA_MINUS,회사채 AA-,4.07,202604,%,721Y001,M
CORP_BOND_BBB_MINUS,회사채 BBB-,9.871,202604,%,721Y001,M
KRW_USD,원/달러 환율,,N/A,원,036Y001,M
KRW_JPY,원/100엔 환율,,N/A,원,036Y001,M
KRW_CNY,원/위안 환율,,N/A,원,036Y001,M
REER,실질실효환율,,N/A,지수,036Y002,M
CPI_YOY,소비자물가 전년비,2.57,202604,%,901Y010,M
CORE_CPI_YOY,근원CPI 전년비,4.18,202604,%,901Y010,M
PPI_YOY,생산자물가 전년비,2.57,202604,%,901Y009,M
INFLATION_EXPECT,물가전망CSI(기대인플레 대용),58.0,202304,CSI,511Y004,M
IMPORT_PRICE_YOY,수입금액 전년비,19.44,202603,%,901Y013,M
GDP_GROWTH_QOQ,실질GDP 전기비,3.85,2026Q1,%,200Y104,Q
GDP_GROWTH_YOY,실질GDP 전년비,6.42,2026Q1,%,200Y104,Q
CLI_COINCIDENT,경기동행지수 순환변동치,100.1,202603,지수,901Y067,M
CLI_LEADING,경기선행지수 순환변동치,103.5,202603,지수,901Y067,M
BSI_ALL,기업경기실사지수 전산업,80.0,202410,BSI,512Y014,M
UNEMPLOYMENT_RATE,실업률,2.8,202604,%,901Y027,M
EMPLOYMENT_CHANGE,취업자수 전년비,58.0,202604,천명,901Y027,M
LABOR_PARTICIPATION,경제활동참가율,64.5,202604,%,901Y027,M
EMPLOYMENT_RATE,고용률,62.7,202604,%,901Y027,M
YOUTH_UNEMPLOYMENT,실업률(청년 대용),2.8,202604,%,901Y027,M
M2_YOY,M2 전년비,,N/A,%,101Y004,M
M1_YOY,M1 전년비,,N/A,%,101Y004,M
BASE_MONEY,본원통화 잔액,202043.0,202603,십억원,102Y004,M
HOUSEHOLD_CREDIT,가계신용 잔액,,N/A,십억원,104Y001,Q
CORP_LOAN,기업대출 잔액,2809084.2,202603,십억원,104Y014,M
HOUSE_PRICE_BUY,주택매매금액 합계,85867478.0,202604,십억원,901Y092,M
HOUSE_PRICE_RENT,주택임대금액 합계,62112591.0,202604,십억원,901Y092,M
APT_PRICE_BUY,아파트매매금액,1208080.0,202604,십억원,901Y092,M
HOUSING_START,주택착공지수,137.1,202603,지수,901Y066,M
EXPORT_YOY,수출물량 전년비,16.77,202604,%,403Y003,M
IMPORT_YOY,수입물량 전년비,50.24,202604,%,403Y001,M
TRADE_BALANCE,무역수지,,N/A,백만달러,403Y003,M
CURRENT_ACCOUNT,경상수지,,N/A,백만달러,403Y001,M
EXPORT_VOLUME_YOY,수출물량지수 전년비,16.77,202604,%,403Y003,M
RETAIL_SALES_YOY,소매판매 전년비,40.85,202604,%,402Y015,M
INDPRO_YOY,광공업생산 전년비,40.85,202604,%,402Y014,M
CAPEX_YOY,설비투자 전년비,,N/A,%,402Y012,M
CONSTRUCTION_YOY,건설기성 전년비,,N/A,%,402Y012,M
CSI,소비자동향CSI,86.0,202304,지수,511Y004,M
KOSPI,KOSPI 지수,2612.43,20241028,pt,802Y001,D
KOSDAQ,KOSDAQ 지수,740.48,20241028,pt,802Y001,D
FOREIGN_NET_BUY,외국인 주식 순매수,,N/A,십억원,802Y004,M
CD_BOK_SPREAD,CD-기준금리 스프레드 (파생),0.32,202604,%,721Y001,M
CREDIT_SPREAD,회사채BBB-국채3Y 스프레드 (파생),6.458,202604,%,721Y001,M
DSR_HOUSEHOLD,가계부채 DSR (파생),,N/A,%,104Y001,Q
